area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,18 Months,Cantonment Enclave 42,3 Bedroom,Sunshine Towers,1420,1,0,59.46
Built-up  Area,18 Months,Jalna Road Extension 56,3 Bedroom,Golden Nest,1047,4,1,47.85
Carpet  Area,18 Months,Baijipura North 2,3 BHK,Nilgiri Heights,1596,2,1,87.25
Plot  Area,18 Months,Kranti Chowk South 19,2 BHK,Lake View,961,4,3,52.99
Plot  Area,Immediate Possession,Nakshtrawadi North 40,4 BHK,Lake View,2883,5,2,183.19
Plot  Area,Immediate Possession,Waluj MIDC North 1,2 BHK,Sunshine Towers,768,3,2,47.85
Carpet  Area,Dec 2024,Beed Bypass Block 38,1 BHK,Green Park,667,5,3,27.51
Plot  Area,18 Months,Kranti Chowk Central 50,3 BHK,Golden Nest,1436,2,2,72.45
Carpet  Area,Immediate Possession,Mukundwadi South 37,5 BHK,Rose Garden,2900,3,2,163.19
Carpet  Area,Dec 2024,Pundlik Nagar Sector 54,4 BHK,Sunshine Towers,2701,2,3,142.64
Super built-up  Area,Under Construction,Padegaon East 16,2 BHK,Rose Garden,1266,1,0,72.71
Super built-up  Area,18 Months,Seven Hills Block 18,2 BHK,Sunshine Towers,1189,3,0,77.16
Built-up  Area,Under Construction,Garkheda East 45,3 BHK,Sunshine Towers,1509,2,1,96.32
Built-up  Area,Dec 2024,Nirala Bazaar East 28,2 BHK,Nilgiri Heights,949,3,0,55.17
Super built-up  Area,Immediate Possession,Kranti Chowk South 17,2 Bedroom,Green Park,1272,1,3,78.32
Built-up  Area,Ready To Move,Cantonment South 58,2 BHK,,820,4,3,35.82
Built-up  Area,18 Months,Usmanpura Extension 24,2 BHK,Golden Nest,919,5,2,52.5
Plot  Area,Under Construction,Shendra MIDC Sector 34,3 Bedroom,Sai Residency,1384,2,2,78.19
Built-up  Area,Dec 2024,Beed Bypass East 41,3 BHK,,1723,4,2,93.98
Carpet  Area,Ready To Move,Beed Bypass West 45,2 BHK,Lake View,1085,5,0,49.01
Carpet  Area,Under Construction,Shahgunj Sector 19,5 BHK,Rose Garden,4229,5,1,198.94
Built-up  Area,Immediate Possession,MGM Campus South 33,2 BHK,Golden Nest,989,2,1,51.32
Built-up  Area,18 Months,Usmanpura Central 10,3 Bedroom,Golden Nest,1229,3,1,65.94
Super built-up  Area,18 Months,Satara Area Phase 40,5 BHK,Nilgiri Heights,4542,5,0,258.51
Carpet  Area,Under Construction,Harsul Enclave 35,5 BHK,,3006,4,1,139.59
Built-up  Area,18 Months,Nirala Bazaar Central 22,3 BHK,Nilgiri Heights,1152,5,3,46.87
Super built-up  Area,18 Months,Shendra MIDC Block 25,4 BHK,Golden Nest,2543,1,1,99.04
Plot  Area,Ready To Move,Shendra MIDC Extension 31,3 BHK,Rose Garden,1238,5,0,61.9
Carpet  Area,Under Construction,Harsul Phase 10,4 BHK,Rose Garden,2600,3,0,154.47
Carpet  Area,Under Construction,Baijipura Phase 46,3 Bedroom,Sunshine Towers,1640,1,2,106.52
Carpet  Area,Under Construction,Nirala Bazaar West 9,4 BHK,Sai Residency,2829,4,0,160.61
Super built-up  Area,Immediate Possession,Cantonment North 23,2 BHK,Sai Residency,953,1,1,41.28
Built-up  Area,Dec 2024,Vedant Nagar Extension 19,5 BHK,Golden Nest,3185,5,3,137.93
Built-up  Area,Immediate Possession,Hudco South 37,4 BHK,Lake View,2884,2,1,159.42
Carpet  Area,Ready To Move,Shivaji Nagar West 20,4 BHK,Rose Garden,1847,3,1,85.98
Built-up  Area,Ready To Move,Nirala Bazaar Central 19,2 Bedroom,Rose Garden,1001,3,1,54.5
Built-up  Area,18 Months,Nakshtrawadi Sector 35,5 BHK,Nilgiri Heights,4853,2,3,294.03
Carpet  Area,Dec 2024,Padegaon West 40,4 BHK,Golden Nest,2424,3,1,146.97
Plot  Area,Ready To Move,Shahgunj Enclave 43,4 BHK,Sai Residency,2408,3,1,93.39
Plot  Area,Ready To Move,MGM Campus East 16,3 BHK,Golden Nest,1332,2,1,83.6
Carpet  Area,Under Construction,Kranti Chowk South 1,5 BHK,Sunshine Towers,4088,3,3,148.71
Plot  Area,Under Construction,Kranti Chowk Enclave 23,2 Bedroom,Sai Residency,858,1,0,52.36
Carpet  Area,Under Construction,Garkheda East 4,4 BHK,Golden Nest,2265,2,0,129.67
Plot  Area,Under Construction,Waluj MIDC Phase 22,2 BHK,Golden Nest,730,5,0,28.44
Plot  Area,Ready To Move,Nirala Bazaar South 26,1 BHK,Golden Nest,798,4,1,50.63
Super built-up  Area,Under Construction,Nirala Bazaar Enclave 35,3 Bedroom,Lake View,1666,2,0,63.06
Plot  Area,Immediate Possession,Hudco Sector 49,3 BHK,Golden Nest,1596,5,1,83.38
Built-up  Area,Immediate Possession,Vedant Nagar Sector 48,2 BHK,Rose Garden,744,3,1,46.27
Built-up  Area,Ready To Move,Mukundwadi Central 52,1 BHK,Nilgiri Heights,702,4,1,35.57
Plot  Area,Ready To Move,Beed Bypass Sector 59,3 Bedroom,,1077,1,1,68.59
Super built-up  Area,Immediate Possession,Waluj MIDC Enclave 53,2 Bedroom,Golden Nest,867,5,0,47.67
Built-up  Area,Ready To Move,Shendra MIDC Sector 7,1 BHK,Sai Residency,413,2,3,24.75
Plot  Area,Immediate Possession,Shahgunj Sector 7,1 BHK,Green Park,610,3,1,31.51
Carpet  Area,Under Construction,Usmanpura North 34,2 BHK,Sai Residency,720,2,0,29.25
Super built-up  Area,Immediate Possession,Waluj MIDC Central 30,2 Bedroom,Green Park,812,2,3,46.61
Super built-up  Area,18 Months,Satara Area North 54,2 Bedroom,Golden Nest,798,2,2,45.33
Super built-up  Area,Ready To Move,Aurangpura North 36,2 Bedroom,Lake View,1105,4,1,60.44
Built-up  Area,18 Months,Padegaon Phase 11,5 BHK,,3109,1,3,141.27
Carpet  Area,Immediate Possession,Beed Bypass North 48,3 BHK,Golden Nest,1341,3,2,49.57
Plot  Area,Ready To Move,Jalna Road Enclave 31,1 BHK,Green Park,590,4,3,22.52
Super built-up  Area,Immediate Possession,Shivaji Nagar Enclave 43,5 BHK,Green Park,4786,3,2,272.72
Built-up  Area,Under Construction,Mukundwadi Enclave 12,2 BHK,,1189,4,1,62.98
Plot  Area,Ready To Move,Beed Bypass East 51,2 BHK,,771,3,0,38.01
Built-up  Area,Dec 2024,Paithan Road Sector 20,2 BHK,Golden Nest,885,1,1,31.83
Built-up  Area,Under Construction,Padegaon Block 33,2 BHK,Sai Residency,904,5,2,49.45
Carpet  Area,Ready To Move,Usmanpura Block 56,3 BHK,,1550,1,2,77.18
Built-up  Area,Dec 2024,Padegaon Phase 48,4 BHK,Nilgiri Heights,2556,3,2,115.87
Built-up  Area,Dec 2024,Mukundwadi Enclave 46,2 BHK,Rose Garden,866,5,1,38.04
Built-up  Area,Ready To Move,Garkheda Extension 33,5 BHK,,2928,4,2,176.43
Super built-up  Area,Immediate Possession,Vedant Nagar Sector 49,3 BHK,,1666,4,3,90.8
Super built-up  Area,Ready To Move,Hudco Sector 59,2 BHK,Sai Residency,1046,5,0,66.89
Carpet  Area,18 Months,Shivaji Nagar East 23,5 BHK,Green Park,2723,5,3,108.56
Built-up  Area,Immediate Possession,Padegaon Extension 46,5 BHK,Golden Nest,2934,4,2,154.74
Plot  Area,Under Construction,MGM Campus East 39,4 BHK,Green Park,1813,4,3,73.02
Super built-up  Area,Dec 2024,Cantonment Extension 20,4 BHK,Nilgiri Heights,1838,4,1,103.49
Plot  Area,Under Construction,Vedant Nagar Extension 40,2 Bedroom,Golden Nest,736,2,0,41.2
Carpet  Area,18 Months,Waluj MIDC North 1,4 BHK,Green Park,2243,5,2,143.59
Carpet  Area,Immediate Possession,Beed Bypass East 5,2 Bedroom,Golden Nest,1235,1,1,60.14
Super built-up  Area,18 Months,MGM Campus Sector 52,2 Bedroom,Lake View,1036,4,2,65.31
Super built-up  Area,Ready To Move,Usmanpura Phase 8,4 BHK,,1957,2,0,78.6
Built-up  Area,Ready To Move,Cantonment Sector 14,2 BHK,,956,1,1,51.62
Super built-up  Area,Dec 2024,Waluj MIDC East 6,3 BHK,Nilgiri Heights,1226,3,3,69.23
Carpet  Area,Immediate Possession,Beed Bypass Enclave 14,2 Bedroom,Lake View,1255,2,1,54.87
Carpet  Area,Ready To Move,CIDCO East 25,2 Bedroom,Sunshine Towers,923,2,0,42.34
Plot  Area,Ready To Move,Baijipura Enclave 13,1 BHK,Sai Residency,629,2,1,30.91
Plot  Area,Immediate Possession,Mukundwadi Central 23,2 BHK,Sunshine Towers,902,4,0,39.42
Carpet  Area,18 Months,Beed Bypass East 9,3 BHK,Golden Nest,1620,5,0,100.45
Plot  Area,Immediate Possession,Garkheda Enclave 37,3 Bedroom,Golden Nest,1550,2,3,91.18
Carpet  Area,Ready To Move,Baijipura Phase 12,4 BHK,Green Park,2534,1,0,132.09
Carpet  Area,18 Months,Pundlik Nagar Central 27,2 Bedroom,Lake View,1284,3,2,82.35
Super built-up  Area,Immediate Possession,Satara Area Enclave 28,2 BHK,Green Park,819,5,1,43.64
Super built-up  Area,18 Months,Vedant Nagar Block 41,1 BHK,,401,4,0,23.82
Carpet  Area,Dec 2024,Aurangpura Extension 53,1 BHK,Nilgiri Heights,489,3,2,18.05
Built-up  Area,Under Construction,Vedant Nagar Phase 50,2 Bedroom,,759,2,3,48.44
Built-up  Area,Dec 2024,Aurangpura Extension 47,5 BHK,Lake View,3583,1,1,207.41
Super built-up  Area,Dec 2024,Shendra MIDC Sector 34,3 Bedroom,Sai Residency,1212,4,1,77.19
Built-up  Area,Dec 2024,Harsul Block 38,3 Bedroom,Lake View,1671,3,3,69.9
Carpet  Area,Under Construction,Paithan Road Sector 11,5 BHK,Nilgiri Heights,2720,2,2,120.86
Super built-up  Area,18 Months,Beed Bypass East 51,3 BHK,Green Park,1777,1,0,68.17
Super built-up  Area,Ready To Move,Padegaon Central 2,4 BHK,,2944,3,2,187.06
Plot  Area,Under Construction,CIDCO Central 17,5 BHK,Lake View,2954,2,2,189.75
Built-up  Area,Immediate Possession,Paithan Road Block 33,2 Bedroom,Lake View,987,3,1,45.83
Carpet  Area,18 Months,Hudco South 42,2 BHK,Sunshine Towers,1001,3,1,48.38
Carpet  Area,Dec 2024,Waluj MIDC Block 58,3 BHK,Sai Residency,1452,2,3,53.07
Carpet  Area,Ready To Move,Aurangpura Extension 34,1 BHK,Nilgiri Heights,748,5,2,42.4
Built-up  Area,18 Months,Shendra MIDC West 32,5 BHK,Nilgiri Heights,2730,3,0,133.71
Carpet  Area,Under Construction,Kranti Chowk North 7,2 Bedroom,Sai Residency,1282,2,3,81.48
Built-up  Area,18 Months,Shendra MIDC South 57,4 BHK,Sunshine Towers,1689,1,2,80.64
Carpet  Area,Immediate Possession,Garkheda Sector 20,1 BHK,Rose Garden,414,1,2,20.53
Carpet  Area,Under Construction,MGM Campus Enclave 30,5 BHK,Green Park,4568,2,1,225.45
Super built-up  Area,18 Months,Usmanpura West 35,3 Bedroom,Sai Residency,1621,2,2,102.64
Built-up  Area,Ready To Move,Usmanpura Extension 24,2 BHK,Sai Residency,1217,2,0,73.14
Super built-up  Area,Immediate Possession,Cantonment South 3,2 BHK,Sai Residency,747,4,3,28.04
Built-up  Area,Immediate Possession,Mukundwadi West 55,2 BHK,,736,2,0,35.75
Carpet  Area,18 Months,Waluj MIDC North 48,5 BHK,Green Park,4521,2,2,281.13
Plot  Area,Ready To Move,Kranti Chowk Central 50,2 Bedroom,,740,4,2,47.42
Super built-up  Area,18 Months,Kranti Chowk Block 58,5 BHK,,3253,1,1,157.45
Plot  Area,Ready To Move,Kranti Chowk Extension 45,4 BHK,Green Park,2658,5,1,166.34
Built-up  Area,Ready To Move,Nirala Bazaar Block 24,1 BHK,Golden Nest,773,2,0,48.89
Plot  Area,Ready To Move,Kranti Chowk East 47,2 BHK,Nilgiri Heights,1193,3,1,60.33
Super built-up  Area,Ready To Move,Nirala Bazaar Extension 27,3 BHK,Nilgiri Heights,1694,4,2,78.04
Super built-up  Area,Under Construction,Satara Area North 54,3 Bedroom,Green Park,1029,4,2,61.69
Super built-up  Area,Under Construction,Shendra MIDC North 53,3 Bedroom,Golden Nest,1071,5,3,62.42
Built-up  Area,Ready To Move,Shahgunj Phase 6,3 BHK,Rose Garden,1002,2,1,44.45
Super built-up  Area,Immediate Possession,Nakshtrawadi Phase 34,4 BHK,Nilgiri Heights,2822,3,1,127.61
Built-up  Area,Under Construction,Nakshtrawadi Central 41,5 BHK,Golden Nest,3598,5,2,171.89
Super built-up  Area,Dec 2024,Shendra MIDC South 57,1 BHK,Green Park,785,1,3,29.7
Built-up  Area,Ready To Move,Mukundwadi Enclave 43,3 BHK,Sai Residency,1046,1,2,45.33
Built-up  Area,Under Construction,Paithan Road East 59,3 BHK,Rose Garden,1412,1,1,62.16
Super built-up  Area,Immediate Possession,Aurangpura West 41,2 Bedroom,Nilgiri Heights,1216,3,0,68.43
Carpet  Area,Dec 2024,Vedant Nagar Extension 33,3 BHK,Sai Residency,1793,1,2,102.2
Built-up  Area,Immediate Possession,Mukundwadi West 33,1 BHK,,519,3,2,29.96
Super built-up  Area,Immediate Possession,Satara Area Extension 18,3 Bedroom,Green Park,1230,2,3,57.33
Super built-up  Area,Under Construction,Waluj MIDC Enclave 41,2 Bedroom,Lake View,1051,5,2,41.05
Carpet  Area,18 Months,Padegaon Block 6,4 BHK,Golden Nest,2896,2,2,157.56
Super built-up  Area,Under Construction,Satara Area Phase 3,3 Bedroom,,1129,5,3,71.48
Super built-up  Area,Dec 2024,Cantonment Extension 55,2 Bedroom,Lake View,1288,3,1,55.34
Super built-up  Area,Under Construction,Cantonment Block 18,2 BHK,Golden Nest,922,2,0,35.07
Carpet  Area,Under Construction,Shivaji Nagar South 40,1 BHK,Nilgiri Heights,737,5,3,47.77
Carpet  Area,Immediate Possession,Baijipura Extension 52,2 Bedroom,Lake View,1131,2,2,72.11
Super built-up  Area,18 Months,MGM Campus East 54,4 BHK,Lake View,2334,3,2,127.57
Plot  Area,18 Months,Waluj MIDC North 48,5 BHK,Lake View,2973,2,3,184.14
Super built-up  Area,Dec 2024,Hudco Enclave 43,3 BHK,Sunshine Towers,1292,1,1,45.58
Carpet  Area,18 Months,CIDCO Phase 52,3 BHK,Sunshine Towers,1680,4,2,107.09
Built-up  Area,Ready To Move,Waluj MIDC Sector 49,2 Bedroom,Rose Garden,972,3,3,61.22
Plot  Area,Dec 2024,Harsul Enclave 59,2 Bedroom,Golden Nest,1144,3,0,51.83
Built-up  Area,18 Months,Shivaji Nagar East 1,1 BHK,Lake View,662,1,2,30.31
Super built-up  Area,18 Months,Pundlik Nagar Block 5,1 BHK,Lake View,606,1,2,33.76
Plot  Area,18 Months,Aurangpura North 11,4 BHK,Green Park,1869,1,1,87.69
Carpet  Area,Immediate Possession,CIDCO Block 5,4 BHK,Nilgiri Heights,2554,3,3,111.64
Super built-up  Area,Immediate Possession,Garkheda Central 12,2 BHK,,1242,5,2,71.34
Super built-up  Area,Immediate Possession,Seven Hills Phase 40,5 BHK,Green Park,4804,2,2,209.0
Super built-up  Area,Ready To Move,Satara Area South 32,3 Bedroom,Sunshine Towers,1672,3,3,64.18
Super built-up  Area,Immediate Possession,Harsul Sector 41,1 BHK,Green Park,516,1,2,29.3
