location,total_sqft,bath,price,bhk
Baijipura South 57,4701,4,272.01,5
Beed Bypass Block 49,1392,4,69.28,3
Beed Bypass Block 49,1008,2,42.97,3
Beed Bypass Block 49,762,1,33.39,2
Beed Bypass Block 49,492,2,27.43,1
Beed Bypass Block 49,2520,1,139.32,4
Beed Bypass Block 49,760,1,42.0,2
Beed Bypass Central 7,1039,3,53.02,3
Beed Bypass Central 7,444,2,22.72,1
Beed Bypass Central 7,1012,3,52.45,3
Beed Bypass Central 7,3785,5,165.34,5
Beed Bypass Central 7,2745,5,137.32,4
Beed Bypass Central 7,747,3,35.36,2
Beed Bypass Central 7,839,2,38.35,2
Beed Bypass Central 8,1286,3,53.65,3
Beed Bypass Central 8,4108,3,192.76,5
Beed Bypass Central 8,1491,3,87.15,3
Beed Bypass Central 8,1098,2,60.29,3
Beed Bypass Central 8,1739,3,85.3,3
Beed Bypass East 16,2708,2,128.42,4
Beed Bypass East 16,1263,2,50.75,3
Beed Bypass East 16,743,1,34.61,1
Beed Bypass East 16,2386,2,130.26,4
Beed Bypass East 16,2288,5,94.26,4
Beed Bypass East 16,1763,3,68.29,3
Beed Bypass East 16,946,2,51.2,2
Beed Bypass East 43,2595,3,131.63,5
Beed Bypass East 43,1080,3,60.48,3
Beed Bypass East 43,1283,4,72.53,3
Beed Bypass East 43,964,1,54.59,2
Beed Bypass East 43,1432,2,79.07,3
Beed Bypass East 43,2206,2,104.49,4
Beed Bypass East 43,2565,1,133.58,5
Beed Bypass Enclave 14,4486,4,256.9,5
Beed Bypass Enclave 14,1786,3,98.99,3
Beed Bypass Enclave 14,1270,1,68.38,2
Beed Bypass Enclave 14,667,1,30.81,1
Beed Bypass Enclave 14,4512,5,220.0,5
Beed Bypass Enclave 34,586,1,30.86,1
Beed Bypass Enclave 34,1117,3,52.67,2
Beed Bypass Enclave 34,3727,2,195.95,5
Beed Bypass Enclave 34,860,1,38.66,2
Beed Bypass Enclave 34,1371,4,77.81,3
Beed Bypass Enclave 34,876,1,40.39,2
Beed Bypass Extension 35,1907,5,93.51,4
Beed Bypass Extension 35,880,3,54.46,2
Beed Bypass Extension 35,2055,4,128.52,4
Beed Bypass Extension 35,1165,4,68.54,3
Beed Bypass Extension 35,4266,3,234.33,5
Beed Bypass North 31,1292,3,61.58,2
Beed Bypass North 31,1657,3,74.47,4
Beed Bypass North 31,2917,1,165.85,4
Beed Bypass North 31,1772,5,95.92,4
Beed Bypass North 31,1045,1,48.9,2
Beed Bypass North 31,2517,2,122.68,4
Beed Bypass North 31,1275,2,55.53,3
Beed Bypass North 31,4029,2,218.97,5
Beed Bypass North 36,1567,2,81.33,3
Beed Bypass North 36,2411,1,99.27,4
Beed Bypass North 36,1210,1,46.08,3
Beed Bypass North 36,2012,2,83.52,4
Beed Bypass North 36,1231,4,47.39,3
Beed Bypass North 6,2972,1,177.18,4
Beed Bypass North 6,2994,5,167.55,4
Beed Bypass North 6,1094,3,62.94,3
Beed Bypass North 6,1255,3,76.11,2
Beed Bypass Sector 17,1505,1,72.82,3
Beed Bypass Sector 17,2233,5,113.53,4
Beed Bypass Sector 17,1626,3,76.61,4
Beed Bypass Sector 17,1247,1,61.4,2
Beed Bypass Sector 17,3848,3,210.18,5
Beed Bypass Sector 17,654,2,32.63,1
Beed Bypass Sector 20,3779,1,162.67,5
Beed Bypass Sector 20,3905,2,169.05,5
Beed Bypass Sector 20,1500,2,70.55,3
Beed Bypass Sector 20,728,2,39.56,1
Beed Bypass Sector 37,1264,4,67.8,3
Beed Bypass Sector 37,3675,5,191.98,5
Beed Bypass Sector 37,2614,2,147.87,4
Beed Bypass Sector 37,1808,2,98.72,4
Beed Bypass Sector 37,2923,1,135.19,4
Beed Bypass Sector 37,1258,3,57.02,2
Beed Bypass South 10,2869,3,172.66,5
Beed Bypass South 10,4314,5,181.76,5
Beed Bypass South 10,4301,3,174.62,5
Beed Bypass South 10,2903,4,119.61,4
Beed Bypass South 10,709,3,36.56,2
Beed Bypass South 10,2780,4,163.21,4
Beed Bypass South 10,2375,4,101.16,4
Beed Bypass West 54,1019,2,52.91,2
Beed Bypass West 54,4824,1,276.63,5
Beed Bypass West 54,2791,1,163.67,5
Beed Bypass West 54,2776,5,124.47,4
CIDCO Block 28,2376,2,129.37,4
CIDCO Block 28,1913,1,94.58,4
CIDCO Block 28,3591,5,169.93,5
CIDCO Block 28,1253,3,72.44,2
CIDCO Block 28,1286,1,66.64,2
CIDCO Block 28,1739,4,87.9,4
CIDCO Block 28,2778,1,153.59,5
CIDCO Central 17,1256,3,69.97,2
CIDCO Central 17,715,1,39.28,1
CIDCO Central 17,2536,3,148.32,5
CIDCO Central 17,1171,4,67.59,3
CIDCO Central 17,3562,1,162.65,5
CIDCO Central 17,1093,3,49.66,3
CIDCO Central 17,3480,5,174.64,5
CIDCO Central 17,1571,2,72.28,3
CIDCO Central 32,721,3,42.24,2
CIDCO Central 32,1178,2,67.34,2
CIDCO Central 32,2696,1,163.33,4
CIDCO Central 32,1599,4,84.62,3
CIDCO Central 32,1432,4,86.74,3
CIDCO Central 4,1270,3,57.07,2
CIDCO Central 4,2651,5,106.96,5
CIDCO Central 4,1076,4,49.17,3
CIDCO Central 4,879,3,34.98,2
CIDCO Central 4,4563,1,250.21,5
CIDCO Enclave 30,1257,4,52.3,3
CIDCO Enclave 30,1207,3,67.21,2
CIDCO Enclave 30,1434,1,73.7,3
CIDCO Enclave 30,4539,1,194.57,5
CIDCO Enclave 42,4159,1,187.24,5
CIDCO Enclave 42,1657,3,94.96,3
CIDCO Enclave 42,1041,3,45.53,2
CIDCO Enclave 42,4330,3,244.38,5
CIDCO Enclave 42,522,1,29.33,1
CIDCO Enclave 42,562,1,31.7,1
CIDCO Enclave 46,945,1,50.51,2
CIDCO Enclave 46,1238,2,57.74,2
CIDCO Enclave 46,886,3,43.86,2
CIDCO Enclave 46,771,3,35.18,2
CIDCO Enclave 46,1973,5,111.26,4
CIDCO Enclave 46,1142,1,53.68,2
CIDCO Enclave 46,1120,1,59.41,2
CIDCO Enclave 59,1173,3,61.8,2
CIDCO Enclave 59,993,1,56.55,2
CIDCO Enclave 59,1399,3,64.54,3
CIDCO Enclave 59,421,1,20.76,1
CIDCO Enclave 59,1102,2,57.77,2
CIDCO Extension 43,1150,1,63.1,2
CIDCO Extension 43,2609,3,169.17,4
CIDCO Extension 43,1019,3,62.93,2
CIDCO Extension 43,3891,1,251.12,5
CIDCO Extension 43,2836,5,180.15,5
CIDCO Extension 43,1002,1,62.7,2
CIDCO Extension 43,727,1,42.79,1
CIDCO Extension 43,3490,2,220.61,5
CIDCO Phase 22,766,1,31.95,2
CIDCO Phase 22,527,2,27.29,1
CIDCO Phase 22,4589,4,236.49,5
CIDCO Phase 22,3755,2,207.35,5
CIDCO Phase 22,945,1,46.11,2
CIDCO Phase 52,2646,3,147.1,4
CIDCO Phase 52,1158,1,49.77,2
CIDCO Phase 52,2761,5,133.57,5
CIDCO Phase 52,1737,1,91.51,3
CIDCO Phase 52,763,3,35.01,2
CIDCO Phase 52,1149,2,49.58,2
CIDCO Phase 6,673,2,40.22,1
CIDCO Phase 6,1147,3,60.96,2
CIDCO Phase 6,970,1,60.56,2
CIDCO Phase 6,1163,2,64.28,2
CIDCO Phase 6,2358,4,135.76,4
CIDCO Phase 6,752,3,45.01,2
CIDCO Phase 6,1888,2,112.58,4
CIDCO Phase 6,1065,4,60.93,3
CIDCO Sector 51,3995,5,150.93,5
CIDCO Sector 51,2639,5,116.24,5
CIDCO Sector 51,3666,3,147.83,5
CIDCO Sector 51,838,2,31.01,2
CIDCO Sector 51,1171,1,50.35,2
CIDCO Sector 51,1004,3,49.43,2
CIDCO South 11,891,3,39.25,2
CIDCO South 11,723,3,35.55,2
CIDCO South 11,4486,1,199.01,5
CIDCO South 11,2267,3,90.42,4
CIDCO South 11,1054,4,50.06,3
CIDCO South 11,1530,2,61.29,3
CIDCO South 11,2771,4,152.67,5
CIDCO South 35,2291,2,133.58,4
CIDCO South 35,2923,1,162.87,4
CIDCO South 35,1288,3,67.19,2
CIDCO South 35,1547,4,90.83,3
CIDCO South 35,1218,4,62.65,3
CIDCO South 35,3072,3,175.24,5
CIDCO South 35,745,1,37.94,2
CIDCO South 35,1578,4,76.09,3
CIDCO South 35,1213,3,56.39,2
CIDCO West 15,1334,1,74.42,3
CIDCO West 15,1514,4,66.75,3
CIDCO West 15,1809,5,80.84,4
CIDCO West 15,590,2,32.29,1
CIDCO West 15,2896,1,128.56,5
CIDCO West 15,746,3,34.26,2
CIDCO West 15,3020,1,135.45,5
Cantonment Block 25,1418,4,73.46,3
Cantonment Block 25,3408,3,178.22,5
Cantonment Block 25,1095,2,55.61,2
Cantonment Block 25,888,1,47.93,2
Cantonment Block 25,2386,2,122.01,4
Cantonment Block 25,3885,1,214.88,5
Cantonment Block 25,1094,3,57.4,2
Cantonment Block 25,1956,1,103.97,4
Cantonment Block 35,1772,2,88.41,3
Cantonment Block 35,580,1,30.33,1
Cantonment Block 35,1105,3,53.47,2
Cantonment Central 47,1617,1,88.23,3
Cantonment Central 47,1103,2,48.03,3
Cantonment Central 47,629,2,35.36,1
Cantonment Central 47,544,1,32.19,1
Cantonment Central 56,2612,4,137.79,4
Cantonment Central 56,1924,4,112.21,4
Cantonment Central 56,3591,2,220.1,5
Cantonment Central 56,796,2,48.54,2
Cantonment Central 56,1491,2,92.14,3
Cantonment East 51,1695,1,91.82,3
Cantonment East 51,1734,1,68.39,3
Cantonment East 51,761,2,41.57,2
Cantonment East 51,3313,5,155.36,5
Cantonment East 51,1187,1,59.72,2
Cantonment East 51,1040,2,41.35,2
Cantonment East 51,1842,2,96.55,4
Cantonment East 51,835,1,39.14,2
Cantonment East 54,1056,3,61.82,3
Cantonment East 54,1197,3,60.97,3
Cantonment East 54,793,3,45.99,2
Cantonment East 54,2898,1,145.19,4
Cantonment East 54,1127,4,67.25,3
Cantonment East 54,1447,3,88.46,3
Cantonment Enclave 33,751,1,37.66,2
Cantonment Enclave 33,2617,2,132.08,4
Cantonment Enclave 33,1427,4,87.62,3
Cantonment Enclave 33,4556,5,278.71,5
Cantonment Enclave 33,498,2,29.63,1
Cantonment Enclave 33,980,1,52.65,2
Cantonment Enclave 33,410,2,25.99,1
Cantonment Enclave 33,1589,1,87.67,3
Cantonment Enclave 42,1420,1,59.46,3
Cantonment Enclave 42,1685,3,102.47,3
Cantonment Enclave 42,1157,1,55.6,3
Cantonment Enclave 42,1163,3,69.6,2
Cantonment Enclave 42,1667,1,87.22,3
Cantonment Enclave 42,742,2,31.77,1
Cantonment Extension 21,816,1,37.85,2
Cantonment Extension 21,2601,1,137.87,4
Cantonment Extension 21,3732,1,155.32,5
Cantonment Extension 21,1660,5,66.58,4
Cantonment Extension 21,979,3,44.69,2
Cantonment Extension 21,862,3,36.45,2
Cantonment Extension 21,3724,2,180.47,5
Cantonment Extension 21,1068,1,42.77,2
Cantonment North 26,1982,5,108.04,4
Cantonment North 26,2635,5,127.27,5
Cantonment North 26,1006,1,56.89,2
Cantonment North 26,1128,2,50.37,2
Cantonment North 26,1648,2,76.3,4
Cantonment North 49,3301,4,135.75,5
Cantonment North 49,725,3,40.62,2
Cantonment North 49,2672,5,134.4,4
Cantonment North 49,1463,2,55.68,3
Cantonment Phase 9,1043,3,49.13,2
Cantonment Phase 9,776,3,41.81,2
Cantonment Phase 9,4043,3,204.97,5
Cantonment Phase 9,704,1,34.18,2
Cantonment Phase 9,3219,3,171.63,5
Cantonment Phase 9,4971,4,238.88,5
Cantonment Sector 44,1541,2,79.98,3
Cantonment Sector 44,1367,4,56.22,3
Cantonment Sector 44,1645,3,70.37,3
Cantonment Sector 44,1521,4,86.68,3
Cantonment Sector 44,1550,3,79.92,3
Cantonment Sector 50,1080,2,51.43,3
Cantonment Sector 50,1565,1,87.85,3
Cantonment Sector 50,519,1,29.51,1
Cantonment Sector 50,2863,1,126.71,4
Cantonment Sector 50,1247,2,65.84,2
Cantonment Sector 50,2533,5,141.93,5
Cantonment Sector 50,2700,4,130.48,4
Cantonment South 36,1587,4,69.6,3
Cantonment South 36,4372,1,197.93,5
Cantonment South 36,760,2,40.4,2
Cantonment South 36,2472,2,110.55,4
Cantonment South 36,2520,4,129.6,5
Cantonment South 36,3371,1,179.97,5
Cantonment South 52,1040,2,51.75,2
Cantonment South 52,2154,4,101.92,4
Cantonment South 52,1083,2,66.21,2
Cantonment South 52,1118,1,68.03,3
Cantonment South 52,945,2,47.62,2
Cantonment West 28,1546,3,87.41,3
Cantonment West 28,523,2,28.67,1
Cantonment West 28,2966,2,157.17,5
Cantonment West 28,1169,4,60.53,3
Cantonment West 28,1050,1,57.58,2
Cantonment West 28,863,3,49.04,2
Cantonment West 28,615,2,34.47,1
Cantonment West 28,3391,1,164.51,5
Cantonment West 45,765,1,30.72,1
Cantonment West 45,1366,1,71.75,3
Cantonment West 45,773,1,31.76,1
Cantonment West 45,1598,3,77.4,3
Cantonment West 45,2866,1,116.33,5
Cantonment West 45,646,2,28.55,1
Cantonment West 45,2865,5,126.06,4
Cantonment West 45,996,2,49.64,2
Garkheda Block 57,2783,3,145.35,4
Garkheda Block 57,1224,2,72.64,2
Garkheda Block 57,1252,2,62.28,3
Garkheda Block 57,1478,4,75.12,3
Garkheda Block 57,2858,2,169.89,4
Garkheda Block 57,2608,1,123.7,5
Garkheda Block 57,414,1,20.29,1
Garkheda Block 58,3185,4,158.34,5
Garkheda Block 58,1207,1,63.32,2
Garkheda Block 58,2442,1,135.53,4
Garkheda Block 58,2238,5,137.16,4
Garkheda Block 58,2857,4,156.6,5
Garkheda Block 8,1292,2,60.54,2
Garkheda Block 8,1578,3,63.45,3
Garkheda Block 8,827,3,39.63,2
Garkheda Block 8,1150,4,46.27,3
Garkheda Block 8,1139,2,60.41,3
Garkheda East 1,1796,3,75.47,3
Garkheda East 1,1534,3,68.72,3
Garkheda East 1,2293,2,127.54,4
Garkheda East 15,1197,1,64.61,2
Garkheda East 15,3141,3,172.3,5
Garkheda East 15,1448,2,77.24,3
Garkheda East 15,1624,3,89.06,3
Garkheda East 15,1055,3,63.19,3
Garkheda East 15,1778,4,99.31,3
Garkheda East 15,2704,1,139.13,4
Garkheda East 22,1738,2,76.55,4
Garkheda East 22,484,1,22.09,1
Garkheda East 22,4293,2,213.84,5
Garkheda East 22,2665,4,111.15,4
Garkheda East 22,4599,1,208.61,5
Garkheda East 22,1036,4,44.6,3
Garkheda Enclave 37,1439,1,78.29,3
Garkheda Enclave 37,2921,1,136.7,4
Garkheda Enclave 37,1246,1,56.17,2
Garkheda Enclave 37,2822,5,153.4,4
Garkheda Enclave 41,1166,3,50.85,3
Garkheda Enclave 41,1792,3,100.6,3
Garkheda Enclave 41,1438,2,86.15,3
Garkheda Enclave 41,2812,1,161.96,5
Garkheda Enclave 41,1271,3,68.64,2
Garkheda Enclave 41,832,3,40.12,2
Garkheda Enclave 41,1690,1,76.82,3
Garkheda Enclave 50,597,2,29.41,1
Garkheda Enclave 50,1148,2,62.25,2
Garkheda Enclave 50,1490,2,66.46,3
Garkheda Enclave 50,787,2,38.45,1
Garkheda Enclave 50,3843,5,173.81,5
Garkheda Enclave 50,596,1,28.69,1
Garkheda Enclave 50,2623,4,114.01,4
Garkheda Enclave 50,1693,5,75.36,4
Garkheda Phase 54,3836,1,220.25,5
Garkheda Phase 54,2776,5,148.77,4
Garkheda Phase 54,1475,3,83.99,3
Garkheda Phase 54,2568,1,140.55,4
Garkheda Phase 54,947,2,50.77,2
Garkheda Sector 18,1705,1,89.18,3
Garkheda Sector 18,1113,1,66.08,2
Garkheda Sector 18,762,2,42.1,1
Garkheda Sector 18,2419,3,124.89,4
Garkheda Sector 18,1060,3,49.13,2
Garkheda Sector 20,414,1,20.53,1
Garkheda Sector 20,943,3,47.59,2
Garkheda Sector 20,2368,2,115.51,4
Garkheda Sector 20,1547,1,92.29,3
Garkheda Sector 20,2364,4,111.25,4
Garkheda Sector 20,1224,1,58.41,2
Garkheda Sector 28,1676,4,88.4,3
Garkheda Sector 28,1111,2,52.02,3
Garkheda Sector 28,1894,4,103.62,4
Garkheda Sector 28,3552,1,178.79,5
Garkheda Sector 28,1261,2,72.45,3
Garkheda Sector 28,4318,1,228.37,5
Garkheda South 19,1208,3,65.62,2
Garkheda South 19,4613,2,215.39,5
Garkheda South 19,4759,4,282.1,5
Garkheda South 19,910,2,54.6,2
Garkheda South 19,666,2,28.43,1
Garkheda South 9,1799,2,81.65,4
Garkheda South 9,2719,1,126.29,4
Garkheda South 9,460,2,23.58,1
Garkheda South 9,807,3,41.55,2
Garkheda South 9,1164,3,60.31,2
Garkheda West 26,1248,3,60.87,3
Garkheda West 26,1477,1,73.41,3
Garkheda West 26,3162,2,139.82,5
Garkheda West 26,970,1,40.41,2
Garkheda West 26,1645,2,72.65,3
Garkheda West 3,1297,1,52.38,2
Garkheda West 3,4017,5,232.14,5
Garkheda West 3,652,1,33.65,1
Garkheda West 3,1277,1,59.1,3
Garkheda West 43,937,3,45.1,2
Garkheda West 43,4734,2,194.79,5
Garkheda West 43,1289,2,65.85,3
Garkheda West 43,2183,3,93.06,4
Garkheda West 43,1790,4,78.4,3
Garkheda West 5,1577,1,81.27,3
Garkheda West 5,2298,5,103.81,4
Garkheda West 5,2603,2,129.1,5
Harsul Block 32,461,1,22.69,1
Harsul Block 32,1019,3,41.06,3
Harsul Block 38,1478,1,70.24,3
Harsul Block 38,1294,1,60.53,2
Harsul Block 38,1827,4,110.02,4
Harsul Block 38,712,3,41.87,2
Harsul Block 38,2937,4,161.79,4
Harsul Central 33,1075,1,53.56,3
Harsul Central 33,939,2,47.66,2
Harsul Central 33,1389,4,67.16,3
Harsul Central 33,1981,4,96.83,4
Harsul East 39,1365,3,79.59,3
Harsul East 39,4585,4,234.46,5
Harsul East 39,1190,2,68.22,3
Harsul East 39,1382,2,71.45,3
Harsul East 39,4889,5,232.04,5
Harsul East 39,4591,3,258.69,5
Harsul Enclave 9,782,1,38.27,2
Harsul Enclave 9,729,3,42.94,2
Harsul Enclave 9,2821,3,140.89,5
Harsul Enclave 9,944,3,44.76,2
Harsul Enclave 9,1786,2,72.93,3
Harsul Extension 46,1092,3,59.11,2
Harsul Extension 46,1240,1,65.57,2
Harsul Extension 46,1736,1,76.87,3
Harsul Extension 46,1202,1,49.85,3
Harsul Extension 46,1047,3,44.12,3
Harsul Extension 46,847,1,42.09,2
Harsul Extension 46,1344,2,73.05,3
Harsul Extension 46,676,1,33.65,1
Harsul Extension 47,1254,3,52.52,3
Harsul Extension 47,1315,2,74.44,3
Harsul Extension 47,2990,1,134.78,4
Harsul Extension 47,1579,1,69.67,3
